trial_type	image_path	onset	block	category	task_version	offset	subcategory	image_num	block_trial	duration	target	reaction_time	task
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-32.jpg	67.56622385792434	10.0	characters	alt	67.96509324014187	word	word-32.jpg	3.0	0.3988693822175264	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-118.jpg	68.06558476621285	10.0	characters	alt	68.4644405762665	word	word-118.jpg	4.0	0.39885581005364656	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-9.jpg	68.54910235013813	10.0	characters	alt	68.94982969202101	word	word-9.jpg	5.0	0.4007273418828845	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-85.jpg	69.04885709006341	10.0	characters	alt	69.449281336274	word	word-85.jpg	6.0	0.4004242462106049	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-85.jpg	69.54601901303977	10.0	characters	alt	69.94961767923087	word	word-85.jpg	7.0	0.4035986661911011	True		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-71.jpg	70.04485290590675	10.0	characters	alt	70.44843789795414	word	word-71.jpg	8.0	0.4035849920473993	False		
keypress		69.97296977089718			alt							0.4269507578574121	OneBack
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-10.jpg	70.54819080187008	10.0	characters	alt	70.94940430298449	word	word-10.jpg	9.0	0.40121350111439824	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-103.jpg	71.04827283322811	10.0	characters	alt	71.43154057487845	word	word-103.jpg	10.0	0.3832677416503429	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/word/word-48.jpg	71.52814345713705	10.0	characters	alt	71.93143605301157	word	word-48.jpg	11.0	0.40329259587451816	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-118.jpg	72.03047952009366	11.0	bodies	alt	72.43227435089648	limb	limb-118.jpg	0.0	0.4017948308028281	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-71.jpg	72.5323046320118	11.0	bodies	alt	72.93160076299682	limb	limb-71.jpg	1.0	0.3992961309850216	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-42.jpg	73.03162176022306	11.0	bodies	alt	73.43093545921147	limb	limb-42.jpg	2.0	0.3993136989884079	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-93.jpg	73.53155976999552	11.0	bodies	alt	73.9309377069585	limb	limb-93.jpg	3.0	0.399377936962992	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-109.jpg	74.01582101499662	11.0	bodies	alt	74.41547683719546	limb	limb-109.jpg	4.0	0.39965582219883794	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-11.jpg	74.51618227828294	11.0	bodies	alt	74.91560050705448	limb	limb-11.jpg	5.0	0.3994182287715376	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-97.jpg	75.01529638422653	11.0	bodies	alt	75.4176233462058	limb	limb-97.jpg	6.0	0.40232696197927004	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-75.jpg	75.51514202402905	11.0	bodies	alt	75.91521683521569	limb	limb-75.jpg	7.0	0.4000748111866415	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-12.jpg	75.99900000914931	11.0	bodies	alt	76.39834271324798	limb	limb-12.jpg	8.0	0.3993427040986717	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-26.jpg	76.49910424090922	11.0	bodies	alt	76.90081911999731	limb	limb-26.jpg	9.0	0.40171487908810377	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-127.jpg	76.9988261270337	11.0	bodies	alt	77.39678505016491	limb	limb-127.jpg	10.0	0.3979589231312275	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/limb/limb-141.jpg	77.49736494990066	11.0	bodies	alt	77.89751869114116	limb	limb-141.jpg	11.0	0.4001537412405014	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-87.jpg	77.99868114804849	12.0	faces	alt	78.39830914093181	adult	adult-87.jpg	0.0	0.3996279928833246	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-92.jpg	78.49894137214868	12.0	faces	alt	78.88230545585975	adult	adult-92.jpg	1.0	0.3833640837110579	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-75.jpg	78.98243304016069	12.0	faces	alt	79.38219974795356	adult	adult-75.jpg	2.0	0.39976670779287815	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-139.jpg	79.48225603625178	12.0	faces	alt	79.8830350539647	adult	adult-139.jpg	3.0	0.4007790177129209	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-67.jpg	79.9819072871469	12.0	faces	alt	80.37987708486617	adult	adult-67.jpg	4.0	0.39796979771927	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-2.jpg	80.48144826898351	12.0	faces	alt	80.87979082809761	adult	adult-2.jpg	5.0	0.39834255911409855	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-43.jpg	80.9822598071769	12.0	faces	alt	81.38191410712898	adult	adult-43.jpg	6.0	0.3996542999520898	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-124.jpg	81.46458646608518	12.0	faces	alt	81.86559487693012	adult	adult-124.jpg	7.0	0.4010084108449519	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-58.jpg	81.96469734422863	12.0	faces	alt	82.3653727308847	adult	adult-58.jpg	8.0	0.4006753866560757	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-20.jpg	82.46547185396776	12.0	faces	alt	82.86426140088588	adult	adult-20.jpg	9.0	0.398789546918124	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-41.jpg	82.965540939942	12.0	faces	alt	83.36586775723846	adult	adult-41.jpg	10.0	0.40032681729644537	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/adult/adult-144.jpg	83.44872643705456	12.0	faces	alt	83.84891734318808	adult	adult-144.jpg	11.0	0.4001909061335027	False		
