trial_type	image_path	onset	offset	block	task_version	category	subcategory	image_num	block_trial	duration	target	reaction_time	task
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-81.jpg	64.08410025201738	64.48759539984167	9.0	alt	places	corridor	corridor-81.jpg	8.0	0.4034951478242874	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-89.jpg	64.58849478000775	64.98420231696217	9.0	alt	places	corridor	corridor-89.jpg	9.0	0.3957075369544327	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-68.jpg	65.08605028502643	65.48669836181216	9.0	alt	places	corridor	corridor-68.jpg	10.0	0.4006480767857283	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/corridor/corridor-54.jpg	65.57076272997074	65.97051401389763	9.0	alt	places	corridor	corridor-54.jpg	11.0	0.3997512839268893	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-124.jpg	66.07240371196531	66.46808643685654	10.0	alt	objects	instrument	instrument-124.jpg	0.0	0.3956827248912305	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-143.jpg	66.57070585689507	66.97153842099942	10.0	alt	objects	instrument	instrument-143.jpg	1.0	0.4008325641043484	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-117.jpg	67.07108604093082	67.4700234408956	10.0	alt	objects	instrument	instrument-117.jpg	2.0	0.3989373999647796	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-109.jpg	67.5700774139259	67.9693013059441	10.0	alt	objects	instrument	instrument-109.jpg	3.0	0.39922389201819897	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-78.jpg	68.05427091498859	68.45539100887254	10.0	alt	objects	instrument	instrument-78.jpg	4.0	0.40112009388394654	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-25.jpg	68.55452115298249	68.95538737298921	10.0	alt	objects	instrument	instrument-25.jpg	5.0	0.4008662200067192	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-1.jpg	69.05353869893588	69.45082174590789	10.0	alt	objects	instrument	instrument-1.jpg	6.0	0.39728304697200656	False		
stimuli	/scratch/neuromod/src/task_stimuli/data/fLoc/stimuli/instrument/instrument-114.jpg	69.55324350181036	69.95364787988365	10.0	alt	objects	instrument	instrument-114.jpg	7.0	0.40040437807329	False		
